,symbol,sector,industry,ipo_date,sym_day0_OTC,sym_1day_ret,sym_5day_ret,sym_22day_ret,sym_91day_ret,sym_252day_ret,iwv_day0_OTC,iwv_1day_ret,iwv_5day_ret,iwv_22day_ret,iwv_91day_ret,iwv_252day_ret
324,EWCO, , ,2018-11-07,0.0,0.012683307888449624,-0.010305236414316021,-0.054300455776880474,-0.032831661792601774,0.011932013600524982,0.012092315018407351,-0.002051653518494234,-0.036998480835244485,-0.06203244903715466,0.023507615423121075,0.10936970332536156
325,FBCV, , ,2020-06-05,-0.012702061125899666,0.026900603776738308,-0.08865497250107102,-0.08113318290172566,0.01728875570058741,0.011932013600524982,0.005239567844861792,0.014561984278257167,-0.1669122903979735,-0.014504692802026597,0.11390656481552197,0.10936970332536156
326,FNDC, , ,2013-08-15,-0.006374495815953618,0.002004791049242005,-0.0012028569092017438,0.036487604664100726,0.08771800341701375,0.14745186335169835,-0.006200027465820268,-0.0037231024467681006,0.762901860138864,0.025357291862949438,0.1115499952453487,0.19429347110944084
327,IBDM, , ,2015-03-12,-0.0012054519628657001,-0.0024141568175327643,0.0008043646325450737,0.014281391744797256,-0.007579681790127135,0.0036623790840040193,0.00887553121858109,-0.005084606616833409,0.3782784502484453,0.016052901965703636,0.028486238346490556,-0.0382181545613145
328,NULG, , ,2016-12-22,-1.1102230246251565e-16,-0.0006344747273596685,-0.0006344747273596685,0.013245533497708628,0.10346608026742499,0.2486119786230443,-0.002679174097145798,0.0021639573571530235,0.2262237900702646,0.019476104361761726,0.060100400933752685,0.20367064866794027
329,BUYZ, , ,2020-02-27,-0.007567720527641653,-0.0060759353867488874,0.038902195399201034,-0.1316723075122218,0.5422256081554844,1.2264811351535707,-0.02485586027005382,-0.008553639788750789,-0.10537314953083643,-0.1573506456319721,0.058292605531098385,0.3443325703585174
330,SPMD, , ,2013-07-09,0.003328617584196447,0.001020981239717278,0.024244086985288904,0.03623829992010985,0.10718386350674391,0.09046863205225297,-0.00010163216603753522,0.000508293076840749,0.7817263806855368,0.02745855412119913,0.09142590349471225,0.21180482964424097
331,RDIV, , ,2013-10-01,-0.0015936619489804738,-0.002394059731033016,-0.006384904747406939,0.05187559753651039,0.014430840279284984,0.15709285050265498,0.007209909698109529,-0.0015689702354587665,0.711074135397525,0.03637981085168507,0.06448666056005425,0.16472782576843947
332,DSTL, , ,2018-10-24,-0.018815024898611976,0.005711948004606837,-0.0024479890864432807,0.0008160494230029514,0.03686827403915416,0.1708824842667931,-0.030724330764630103,0.01850671102201984,0.021955716723645047,-0.004162382658695063,0.046256098259285006,0.14784895082021565
333,MAGA, , ,2017-09-14,-0.006220834046796964,-0.001564924762954889,0.006650950298496605,0.031298816154111675,0.1634660063075124,0.11867187008629498,0.0014893123401373831,0.0017573796739103198,0.10129199300599279,0.027444781572086407,0.1410185940940687,0.18733356050448657
